"","NAME_CHAR","n"
"86","E78.49 Other Hyperlipidemia",4654
"87","F43.20 Adjustment Disorder, Unspecified",4646
"88","E11.59 Type 2 Diabetes Mellitus With Other Circulatory Complications",4641
"89","F98.8 Other Specified Behavioral And Emotional Disorders With Onset Usually Occurring In Childhood And Adolescence",4626
"90","278.02 Overweight",4521
"91","314.01 Attention Deficit Disorder Of Childhood With Hyperactivity",4504
"92","300.01 Panic Disorder",4453
"93","309.0 Adjustment Reaction With Brief Depressive Reaction",4158
"94","305.90 Other, Mixed, Or Unspecified Drug Abuse, Unspecified Use",4152
"95","E11.29 Type 2 Diabetes Mellitus With Other Diabetic Kidney Complication",4108
"96","F15.10 Other Stimulant Abuse, Uncomplicated",4092
"97","F06.4 Anxiety Disorder Due To Known Physiological Condition",3975
"98","F12.10 Cannabis Abuse, Uncomplicated",3969
"99","F40.10 Social Phobia, Unspecified",3950
"100","F64.9 Gender Identity Disorder, Unspecified",3949
"101","F10.11 Alcohol Abuse, In Remission",3905
"102","F25.1 Schizoaffective Disorder, Depressive Type",3666
"103","F19.90 Other Psychoactive Substance Use, Unspecified, Uncomplicated",3640
"104","I15.2 Hypertension Secondary To Endocrine Disorders",3591
"105","E87.6 Hypokalemia",3576
"106","F60.3 Borderline Personality Disorder",3514
"107","F40.01 Agoraphobia With Panic Disorder",3489
"108","F19.11 Other Psychoactive Substance Abuse, In Remission",3461
"109","296.7 Bipolar Affective Disorder, Unspecified",3432
"110","296.33 Major Depressive Disorder, Recurrent Episode, Severe Degree, Without Mention Of Psychotic Behavior",3397
"111","F12.20 Cannabis Dependence, Uncomplicated",3349
"112","F25.9 Schizoaffective Disorder, Unspecified",3294
"113","296.90 Unspecified Affective Psychosis",3253
"114","F42.9 Obsessive-Compulsive Disorder, Unspecified",3048
"115","272.1 Pure Hyperglyceridemia",2956
"116","303.90 Other And Unspecified Alcohol Dependence, Unspecified Drinking Behavior",2901
"117","F53.0 Postpartum Depression",2891
"118","304.00 Opioid Type Dependence, Unspecified Use",2876
"119","F64.0 Transsexualism",2867
"120","F15.20 Other Stimulant Dependence, Uncomplicated",2828
"121","309.28 Adjustment Reaction With Mixed Emotional Features",2810
"122","F29 Unspecified Psychosis Not Due To A Substance Or Known Physiological Condition",2804
"123","E11.21 Type 2 Diabetes Mellitus With Diabetic Nephropathy",2770
"124","F11.10 Opioid Abuse, Uncomplicated",2737
"125","F43.0 Acute Stress Reaction",2727
"126","E10.9 Type 1 Diabetes Mellitus Without Complications",2724
"127","314.00 Attention Deficit Disorder Of Childhood Without Mention Of Hyperactivity",2677
"128","250.60 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Neurological Manifestations",2565
"129","F33.42 Major Depressive Disorder, Recurrent, In Full Remission",2518
"130","F31.30 Bipolar Disorder, Current Episode Depressed, Mild Or Moderate Severity, Unspecified",2422
"131","F31.62 Bipolar Disorder, Current Episode Mixed, Moderate",2409
"132","F84.0 Autistic Disorder",2360
"133","295.70 Schizo-Affective Type Schizophrenia, Unspecified State",2341
"134","F51.02 Adjustment Insomnia",2295
"135","305.20 Cannabis Abuse, Unspecified Use",2284
"136","E10.65 Type 1 Diabetes Mellitus With Hyperglycemia",2249
"137","F31.4 Bipolar Disorder, Current Episode Depressed, Severe, Without Psychotic Features",2232
"138","F54 Psychological And Behavioral Factors Associated With Disorders Or Diseases Classified Elsewhere",2222
"139","296.89 Other Manic-Depressive Psychosis",2214
"140","F11.90 Opioid Use, Unspecified, Uncomplicated",2192
"141","F31.31 Bipolar Disorder, Current Episode Depressed, Mild",2112
"142","F31.60 Bipolar Disorder, Current Episode Mixed, Unspecified",2103
"143","E11.51 Type 2 Diabetes Mellitus With Diabetic Peripheral Angiopathy Without Gangrene",2044
"144","F15.11 Other Stimulant Abuse, In Remission",1987
"145","F14.10 Cocaine Abuse, Uncomplicated",1946
"146","F32.4 Major Depressive Disorder, Single Episode, In Partial Remission",1944
"147","F15.21 Other Stimulant Dependence, In Remission",1934
"148","F33.40 Major Depressive Disorder, Recurrent, In Remission, Unspecified",1882
"149","I12.9 Hypertensive Chronic Kidney Disease With Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease",1880
"150","F19.20 Other Psychoactive Substance Dependence, Uncomplicated",1853
"151","295.90 Unspecified Schizophrenia, Unspecified State",1795
"152","305.93 Other, Mixed, Or Unspecified Drug Abuse, In Remission",1788
"153","E83.52 Hypercalcemia",1781
"154","F32.5 Major Depressive Disorder, Single Episode, In Full Remission",1777
"155","E11.00 Type 2 Diabetes Mellitus With Hyperosmolarity Without Nonketotic Hyperglycemic-Hyperosmolar Coma (Nkhhc)",1776
"156","I11.0 Hypertensive Heart Disease With Heart Failure",1770
"157","296.31 Major Depressive Disorder, Recurrent Episode, Mild Degree",1723
"158","F51.5 Nightmare Disorder",1707
"159","F31.70 Bipolar Disorder, Currently In Remission, Most Recent Episode Unspecified",1704
"160","F32.3 Major Depressive Disorder, Single Episode, Severe With Psychotic Features",1695
"161","F43.29 Adjustment Disorder With Other Symptoms",1688
"162","E88.81 Metabolic Syndrome",1677
"163","274.9 Gout, Unspecified",1642
"164","269.2 Unspecified Vitamin Deficiency",1560
"165","296.22 Major Depressive Disorder, Single Episode, Moderate Degree",1525
"166","F11.11 Opioid Abuse, In Remission",1504
"167","300.3 Obsessive-Compulsive Disorders",1498
"168","296.50 Bipolar Affective Disorder, Depressed, Unspecified Degree",1457
"169","F22 Delusional Disorders",1444
"170","F20.3 Undifferentiated Schizophrenia",1442
"171","F14.21 Cocaine Dependence, In Remission",1436
"172","F03.90 Unspecified Dementia Without Behavioral Disturbance",1430
"173","V11.8 Personal History Of Other Mental Disorders",1420
"174","305.03 Alcohol Abuse, In Remission",1413
"175","I11.9 Hypertensive Heart Disease Without Heart Failure",1413
"176","E13.9 Other Specified Diabetes Mellitus Without Complications",1399
"177","F31.75 Bipolar Disorder, In Partial Remission, Most Recent Episode Depressed",1376
"178","F50.9 Eating Disorder, Unspecified",1363
"179","F31.5 Bipolar Disorder, Current Episode Depressed, Severe, With Psychotic Features",1358
"180","F14.20 Cocaine Dependence, Uncomplicated",1292
"181","303.93 Other And Unspecified Alcohol Dependence, In Remission",1286
"182","246.9 Unspecified Disorder Of Thyroid",1268
"183","305.70 Amphetamine Or Related Acting Sympathomimetic Abuse, Unspecified Use",1267
"184","300.9 Unspecified Neurotic Disorder",1260
"185","E87.1 Hypo-Osmolality And Hyponatremia",1255
"186","F52.21 Male Erectile Disorder",1244
"187","E11.49 Type 2 Diabetes Mellitus With Other Diabetic Neurological Complication",1241
"188","F17.209 Nicotine Dependence, Unspecified, With Unspecified Nicotine-Induced Disorders",1238
"189","F13.20 Sedative, Hypnotic Or Anxiolytic Dependence, Uncomplicated",1233
"190","F02.80 Dementia In Other Diseases Classified Elsewhere, Without Behavioral Disturbance",1229
"191","307.81 Tension Headache",1224
"192","E78.6 Lipoprotein Deficiency",1210
"193","E11.319 Type 2 Diabetes Mellitus With Unspecified Diabetic Retinopathy Without Macular Edema",1188
"194","F42.2 Mixed Obsessional Thoughts And Acts",1162
"195","266.2 Other B-Complex Deficiencies",1157
"196","244.8 Other Specified Acquired Hypothyroidism",1154
"197","304.93 Unspecified Drug Dependence, In Remission",1139
"198","250.01 Type I Diabetes Mellitus [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, Without Mention Of Complication",1134
"199","298.9 Unspecified Psychosis",1130
"200","E87.5 Hyperkalemia",1122
"201","E11.621 Type 2 Diabetes Mellitus With Foot Ulcer",1120
"202","256.4 Polycystic Ovaries",1114
"203","276.8 Hypopotassemia",1100
"204","I15.9 Secondary Hypertension, Unspecified",1099
"205","F41.3 Other Mixed Anxiety Disorders",1088
"206","F48.9 Nonpsychotic Mental Disorder, Unspecified",1082
"207","F81.9 Developmental Disorder Of Scholastic Skills, Unspecified",1075
"208","F43.25 Adjustment Disorder With Mixed Disturbance Of Emotions And Conduct",1074
"209","F31.0 Bipolar Disorder, Current Episode Hypomanic",1063
"210","F31.89 Other Bipolar Disorder",1062
"211","E10.8 Type 1 Diabetes Mellitus With Unspecified Complications",1032
"212","300.21 Agoraphobia With Panic Attacks",1031
"213","F10.99 Alcohol Use, Unspecified With Unspecified Alcohol-Induced Disorder",1028
"214","F19.21 Other Psychoactive Substance Dependence, In Remission",998
"215","309.24 Adjustment Reaction With Anxious Mood",986
"216","F17.201 Nicotine Dependence, Unspecified, In Remission",981
"217","F19.99 Other Psychoactive Substance Use, Unspecified With Unspecified Psychoactive Substance-Induced Disorder",980
"218","F31.12 Bipolar Disorder, Current Episode Manic Without Psychotic Features, Moderate",956
"219","309.9 Unspecified Adjustment Reaction",947
"220","296.25 Major Depressive Disorder, Single Episode, In Partial Or Unspecified Remission",946
"221","F60.9 Personality Disorder, Unspecified",936
"222","296.35 Major Depressive Disorder, Recurrent Episode, In Partial Or Unspecified Remission",920
"223","F79 Unspecified Mental Retardation",903
"224","E11.43 Type 2 Diabetes Mellitus With Diabetic Autonomic (Poly)Neuropathy",897
"225","250.80 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Other Specified Manifestations",890
"226","F45.42 Pain Disorder With Related Psychological Factors",890
"227","257.2 Other Testicular Hypofunction",883
"228","F90.8 Attention-Deficit Hyperactivity Disorder, Other Type",883
"229","F32.81 Premenstrual Dysphoric Disorder",869
"230","300.23 Social Phobia",864
"231","F50.81 Binge Eating Disorder",846
"232","295.30 Paranoid Type Schizophrenia, Unspecified State",842
"233","F17.219 Nicotine Dependence, Cigarettes, With Unspecified Nicotine-Induced Disorders",842
"234","250.62 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Neurological Manifestations",841
"235","F90.1 Attention-Deficit Hyperactivity Disorder, Predominantly Hyperactive Type",839
"236","F31.2 Bipolar Disorder, Current Episode Manic Severe With Psychotic Features",826
"237","V15.41 Personal History Of Physical Abuse",823
"238","250.40 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Renal Manifestations",814
"239","F31.64 Bipolar Disorder, Current Episode Mixed, Severe, With Psychotic Features",813
"240","242.90 Thyrotoxicosis Without Mention Of Goiter Or Other Cause, And Without Mention Of Thyrotoxic Crisis Or Storm",812
"241","296.34 Major Depressive Disorder, Recurrent Episode, Severe Degree, Specified As With Psychotic Behavior",812
"242","F33.8 Other Recurrent Depressive Disorders",811
"243","F07.81 Postconcussional Syndrome",801
"244","E11.39 Type 2 Diabetes Mellitus With Other Diabetic Ophthalmic Complication",780
"245","259.9 Unspecified Endocrine Disorder",777
"246","240.9 Goiter, Unspecified",776
"247","F31.61 Bipolar Disorder, Current Episode Mixed, Mild",774
"248","305.73 Amphetamine Or Related Acting Sympathomimetic Abuse, In Remission",766
"249","E13.40 Other Specified Diabetes Mellitus With Diabetic Neuropathy, Unspecified",759
"250","F31.77 Bipolar Disorder, In Partial Remission, Most Recent Episode Mixed",748
"251","F84.5 Asperger'S Syndrome",747
"252","I13.0 Hypertensive Heart And Chronic Kidney Disease With Heart Failure And Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease",740
"253","301.83 Borderline Personality",732
"254","F17.218 Nicotine Dependence, Cigarettes, With Other Nicotine-Induced Disorders",730
"255","296.23 Major Depressive Disorder, Single Episode, Severe Degree, Without Mention Of Psychotic Behavior",712
"256","E11.3299 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",701
"257","F31.63 Bipolar Disorder, Current Episode Mixed, Severe, Without Psychotic Features",699
"258","E79.0 Hyperuricemia Without Signs Of Inflammatory Arthritis And Tophaceous Disease",689
"259","F43.8 Other Reactions To Severe Stress",689
"260","E78.01 Familial Hypercholesterolemia",685
"261","E11.36 Type 2 Diabetes Mellitus With Diabetic Cataract",684
"262","F11.23 Opioid Dependence With Withdrawal",682
"263","F50.2 Bulimia Nervosa",680
"264","F12.21 Cannabis Dependence, In Remission",645
"265","F14.11 Cocaine Abuse, In Remission",643
"266","305.50 Opioid Abuse, Unspecified Use",639
"267","I16.0 Hypertensive Urgency",631
"268","F40.00 Agoraphobia, Unspecified",623
"269","F06.30 Mood Disorder Due To Known Physiological Condition, Unspecified",615
"270","E83.42 Hypomagnesemia",614
"271","F31.11 Bipolar Disorder, Current Episode Manic Without Psychotic Features, Mild",607
"272","E11.41 Type 2 Diabetes Mellitus With Diabetic Mononeuropathy",600
"273","E11.610 Type 2 Diabetes Mellitus With Diabetic Neuropathic Arthropathy",593
"274","304.90 Unspecified Drug Dependence, Unspecified Use",592
"275","E73.9 Lactose Intolerance, Unspecified",591
"276","E86.0 Dehydration",586
"277","F02.81 Dementia In Other Diseases Classified Elsewhere, With Behavioral Disturbance",583
"278","E11.649 Type 2 Diabetes Mellitus With Hypoglycemia Without Coma",580
"279","F20.89 Other Schizophrenia",579
"280","E08.00 Diabetes Mellitus Due To Underlying Condition With Hyperosmolarity Without Nonketotic Hyperglycemic-Hyperosmolar Coma (Nkhhc)",576
"281","F31.10 Bipolar Disorder, Current Episode Manic Without Psychotic Features, Unspecified",575
"282","Z81.8 Family History Of Other Mental And Behavioral Disorders",573
"283","250.50 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Ophthalmic Manifestations",571
"284","308.9 Unspecified Acute Reaction To Stress",550
"285","250.92 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Unspecified Complication",549
"286","305.60 Cocaine Abuse, Unspecified Use",547
"287","250.90 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Unspecified Complication",539
"288","250 Diabetes Mellitus",538
"289","277.7 Dysmetabolic Syndrome X",537
"290","250.42 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Renal Manifestations",531
"291","F70 Mild Mental Retardation",531
"292","E83.51 Hypocalcemia",530
"293","F14.90 Cocaine Use, Unspecified, Uncomplicated",526
"294","E11.3293 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",525
"295","E08.40 Diabetes Mellitus Due To Underlying Condition With Diabetic Neuropathy, Unspecified",515
"296","E08.65 Diabetes Mellitus Due To Underlying Condition With Hyperglycemia",515
"297","296.60 Bipolar Affective Disorder, Mixed, Unspecified Degree",512
"298","F10.29 Alcohol Dependence With Unspecified Alcohol-Induced Disorder",505
"299","296.52 Bipolar Affective Disorder, Depressed, Moderate Degree",500
"300","E11.628 Type 2 Diabetes Mellitus With Other Skin Complications",499
"301","V17.49 Family History Of Other Cardiovascular Diseases",491
"302","F06.31 Mood Disorder Due To Known Physiological Condition With Depressive Features",490
"303","F17.290 Nicotine Dependence, Other Tobacco Product, Uncomplicated",484
"304","250.03 Type I Diabetes Mellitus [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, Without Mention Of Complication",481
"305","293.83 Organic Affective Syndrome",480
"306","241.0 Nontoxic Uninodular Goiter",477
"307","F10.230 Alcohol Dependence With Withdrawal, Uncomplicated",477
"308","F12.11 Cannabis Abuse, In Remission",474
"309","V17.3 Family History Of Ischemic Heart Disease",472
"310","296.21 Major Depressive Disorder, Single Episode, Mild Degree",469
"311","304.30 Cannabis Dependence, Unspecified Use",465
"312","294.20 Dementia, Unspecified, Without Behavioral Disturbance",464
"313","304.01 Opioid Type Dependence, Continuous Use",463
"314","F51.4 Sleep Terrors [Night Terrors]",461
"315","307.47 Other Dysfunctions Of Sleep Stages Or Arousal From Sleep",454
"316","E13.65 Other Specified Diabetes Mellitus With Hyperglycemia",452
"317","F09 Unspecified Mental Disorder Due To Known Physiological Condition",444
"318","308.0 Predominant Disturbance Of Emotions",443
"319","E10.42 Type 1 Diabetes Mellitus With Diabetic Polyneuropathy",443
"320","F03.91 Unspecified Dementia With Behavioral Disturbance",432
"321","275.42 Hypercalcemia",428
"322","294.9 Unspecified Organic Brain Syndrome (Chronic)",426
"323","244.0 Postsurgical Hypothyroidism",419
"324","300.09 Other Anxiety States",419
"325","E74.9 Disorder Of Carbohydrate Metabolism, Unspecified",417
"326","F11.29 Opioid Dependence With Unspecified Opioid-Induced Disorder",416
"327","F63.81 Intermittent Explosive Disorder",412
"328","296.36 Major Depressive Disorder, Recurrent Episode, In Full Remission",410
"329","F42.4 Excoriation (Skin-Picking) Disorder",407
"330","F31.76 Bipolar Disorder, In Full Remission, Most Recent Episode Depressed",399
"331","F17.211 Nicotine Dependence, Cigarettes, In Remission",387
"332","E11.622 Type 2 Diabetes Mellitus With Other Skin Ulcer",386
"333","E08.9 Diabetes Mellitus Due To Underlying Condition Without Complications",379
"334","E78.89 Other Lipoprotein Metabolism Disorders",378
"335","304.40 Amphetamine And Other Psychostimulant Dependence, Unspecified Use",377
"336","304.80 Combinations Of Drug Dependence Excluding Opioid Type Drug, Unspecified Use",374
"337","F13.10 Sedative, Hypnotic Or Anxiolytic Abuse, Uncomplicated",373
"338","276.1 Hyposmolality And/Or Hyponatremia",370
"339","292.0 Drug Withdrawal Syndrome",369
"340","302.72 Psychosexual Dysfunction With Inhibited Sexual Excitement",365
"341","F40.9 Phobic Anxiety Disorder, Unspecified",364
"342","F50.00 Anorexia Nervosa, Unspecified",364
"343","303.91 Other And Unspecified Alcohol Dependence, Continuous Drinking Behavior",360
"344","242.00 Toxic Diffuse Goiter Without Mention Of Thyrotoxic Crisis Or Storm",359
"345","I12.0 Hypertensive Chronic Kidney Disease With Stage 5 Chronic Kidney Disease Or End Stage Renal Disease",358
"346","E08.42 Diabetes Mellitus Due To Underlying Condition With Diabetic Polyneuropathy",356
"347","F95.2 Tourette'S Disorder",356
"348","E80.6 Other Disorders Of Bilirubin Metabolism",355
"349","F20.1 Disorganized Schizophrenia",354
"350","296.40 Bipolar Affective Disorder, Manic, Unspecified Degree",348
"351","F17.220 Nicotine Dependence, Chewing Tobacco, Uncomplicated",345
"352","251.2 Hypoglycemia, Unspecified",338
"353","312.00 Undersocialized Conduct Disorder, Aggressive Type, Unspecified Degree",338
"354","F63.3 Trichotillomania",335
"355","E11.311 Type 2 Diabetes Mellitus With Unspecified Diabetic Retinopathy With Macular Edema",333
"356","E13.8 Other Specified Diabetes Mellitus With Unspecified Complications",333
"357","E13.42 Other Specified Diabetes Mellitus With Diabetic Polyneuropathy",332
"358","I13.2 Hypertensive Heart And Chronic Kidney Disease With Heart Failure And With Stage 5 Chronic Kidney Disease, Or End Stage Renal Disease",332
"359","F23 Brief Psychotic Disorder",321
"360","F44.5 Conversion Disorder With Seizures Or Convulsions",321
"361","F31.13 Bipolar Disorder, Current Episode Manic Without Psychotic Features, Severe",320
"362","F50.89 Other Specified Eating Disorder",320
"363","F45.8 Other Somatoform Disorders",317
"364","250.82 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Other Specified Manifestations",316
"365","245.2 Chronic Lymphocytic Thyroiditis",315
"366","F10.239 Alcohol Dependence With Withdrawal, Unspecified",312
"367","296.53 Bipolar Affective Disorder, Depressed, Severe Degree, Without Mention Of Psychotic Behavior",311
"368","304.03 Opioid Type Dependence, In Remission",310
"369","296.24 Major Depressive Disorder, Single Episode, Severe Degree, Specified As With Psychotic Behavior",308
"370","315.2 Other Specific Developmental Learning Difficulties",303
"371","E66.2 Morbid (Severe) Obesity With Alveolar Hypoventilation",300
"372","F01.50 Vascular Dementia Without Behavioral Disturbance",297
"373","307.50 Eating Disorder, Unspecified",295
"374","F31.73 Bipolar Disorder, In Partial Remission, Most Recent Episode Manic",293
"375","E78.9 Disorder Of Lipoprotein Metabolism , Unspecified",292
"376","F52.8 Other Sexual Dysfunction Not Due To A Substance Or Known Physiological Condition",292
"377","F52.4 Premature Ejaculation",290
"378","E84.9 Cystic Fibrosis, Unspecified",289
"379","F34.0 Cyclothymic Disorder",288
"380","F43.11 Post-Traumatic Stress Disorder, Acute",288
"381","246 Other Disorders Of Thyroid",284
"382","F40.298 Other Specified Phobia",284
"383","301.9 Unspecified Personality Disorder",281
"384","F42.8 Other Obsessive-Compulsive Disorder",281
"385","307.51 Bulimia",276
"386","E66.1 Drug-Induced Obesity",276
"387","F10.982 Alcohol Use, Unspecified With Alcohol-Induced Sleep Disorder",276
"388","E10.40 Type 1 Diabetes Mellitus With Diabetic Neuropathy, Unspecified",275
"389","246.8 Other Specified Disorders Of Thyroid",272
"390","304.10 Barbiturate And Similarly Acting Sedative Or Hypnotic Dependence, Unspecified Use",271
"391","F25.8 Other Schizoaffective Disorders",269
"392","299.80 Other Specified Early Childhood Psychoses, Current Or Active State",264
"393","310.2 Postconcussion Syndrome",263
"394","250.52 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Ophthalmic Manifestations",262
"395","F40.243 Fear Of Flying",262
"396","F63.9 Impulse Disorder, Unspecified",262
"397","E08.8 Diabetes Mellitus Due To Underlying Condition With Unspecified Complications",259
"398","F40.11 Social Phobia, Generalized",259
"399","E10.69 Type 1 Diabetes Mellitus With Other Specified Complication",254
"400","F91.3 Oppositional Defiant Disorder",254
"401","272.5 Lipoprotein Deficiencies",253
"402","295.72 Schizo-Affective Type Schizophrenia, Chronic State",253
"403","F44.81 Dissociative Identity Disorder",253
"404","305.02 Alcohol Abuse, Episodic Drinking Behavior",252
"405","F17.299 Nicotine Dependence, Other Tobacco Product, With Unspecified Nicotine-Induced Disorders",252
"406","I15.8 Other Secondary Hypertension",252
"407","305.53 Opioid Abuse, In Remission",251
"408","F04 Amnestic Disorder Due To Known Physiological Condition",248
"409","I15.0 Renovascular Hypertension",247
"410","F44.9 Dissociative And Conversion Disorder, Unspecified",244
"411","V17.0 Family History Of Psychiatric Condition",243
"412","274.01 Acute Gouty Arthropathy",238
