"","PROVIDER_ID","L1","L2","L3"
"19","25512543-7AF9-4EDA-A837-2D5F74547C9B","Behavioral Health & Social Service Providers","Marriage & Family Therapist","General - Not specified"
"20","7F2B180F-A722-431E-94AD-0608E5A78033","Behavioral Health & Social Service Providers","Social Worker","General - Not specified"
"21","CF427B85-7497-4B39-BAF2-43FFA6E4273C","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"22","622E957E-6F20-4E42-9148-5B2F855A1046","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"23","52CAE87C-A458-4CEA-B6A5-09087E6840B1","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"24","A6D75176-6E0B-4B43-B0D3-BF7E48EBD7FB","Ambulatory Health Care Facilities","Clinic/Center","Federally Qualified Health Center (FQHC)"
"25","DA8671FF-7EA1-446A-8ED4-0A252FCC187A","Other Service Providers","Acupuncturist","General - Not specified"
"26","3D33E885-908B-426B-8ACE-A169B16DCCE4","Physician Assistants & Advanced Practice Nursing Providers","Advanced Practice Midwife","General - Not specified"
"27","5E3FFE8B-991F-4AAF-ADC3-49BE7DFBD248","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"28","10130F9E-034B-46E1-AAAB-2A865FC06481","Allopathic & Osteopathic Physicians","Internal Medicine","Endocrinology, Diabetes & Metabolism"
"29","97B30E51-6F1E-4136-A9D3-18ABD9E8AA04","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"30","0CAC9FC3-8DA9-47EA-A6AC-5328D7A27638","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"31","19A808B0-CBCF-471F-B616-08223145C097","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Obstetrics & Gynecology"
"32","18EAF2BC-8873-4601-B2CF-D4F11DA5122C","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"33","046EFD7A-99E6-43CA-81A7-5B6E4C139A4C","Behavioral Health & Social Service Providers","Psychologist","Clinical"
"34","0F293426-1BA7-44AC-B6A4-AA9916DBEFF6","Dental Providers","Dentist","General Practice"
"35","21AAD07E-396E-4863-903A-7F95C43BD50D","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"36","7E8B9495-7D1B-437A-9C01-307BAA24E81A","Eye and Vision Services Providers","Optometrist","General - Not specified"
"37","E2BE8823-EA29-4EDD-8348-4C703793FC07","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"38","C5AF82D1-EF0C-4FF4-904A-671DF23EB5CE","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","Medical"
"39","B94A6AAF-0BF5-48DF-99B7-F26047A9B838","Nursing Service Providers","Registered Nurse","General - Not specified"
"40","E5625F8C-3E8B-4B6E-ACD1-773F074F7E7E","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"41","4807C81E-DA1B-455A-801D-805D23D5D292","Other Service Providers","Case Manager/Care Coordinator","General - Not specified"
"42","E2B41FCE-4F7C-4D01-9A35-95631B99D195","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"43","8C160F71-2029-4DF6-A70A-809771DE4076","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"44","4E1CADF0-DF66-4D8D-BB3C-84D163126AE6","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"45","EA0405B4-F24F-44D2-9099-9539106F7F37","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"46","C7C8707E-EA88-4289-A7EC-B7FC731F036E","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"47","FA7A364E-2524-473E-A66B-8673761FC625","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"48","D53F35B3-6D55-4FD3-88B3-5379777D666E","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"49","7E6C059F-0EF6-4B7E-BE1D-E1013C5EEBB2","Other Service Providers","Naturopath","General - Not specified"
"50","96E71F7E-DECA-4C06-9212-8ACD6DFF8B6A","Allopathic & Osteopathic Physicians","Internal Medicine","Medical Oncology"
"51","1AD74B94-76CE-4152-84F4-F25268A6D99A","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"52","00F78792-3326-4FC1-BAE0-106A2815593D","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"53","C694DB89-1C6A-43C6-BC56-A7238A5EE8D7","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","General - Not specified"
"54","13854923-0A7C-41E8-BBEB-8E8961B4B311","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"55","B071DFC1-2D26-4BC2-9CFC-2CEE3D4F164B","Behavioral Health & Social Service Providers","Behavioral Analyst","General - Not specified"
"56","619682F0-E68C-40CD-8069-01D09943F964","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"57","21C09CE5-9BE9-416C-B0A1-C3E682141B34","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"58","CC5357C8-2DA2-496C-978E-BEF9E2BEB06C","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"59","A7EE5D56-C084-4959-BF6A-62EFD4073C1A","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"60","A718ED9B-04F6-4855-A052-8049D4317157","Allopathic & Osteopathic Physicians","Ophthalmology","General - Not specified"
"61","3D50939B-47D0-4B8C-B392-B22B750478BC","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"62","77B5664B-41ED-429F-BB52-73D0DA44E142","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"63","2241313C-112F-4300-A7E7-136587587AE0","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"64","206E801B-8359-4A81-99DC-A04F0DA1D32F","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"65","A6037A49-F5EC-4B72-9AF5-BC676FA0FBEE","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"66","59E5D584-380B-4A97-A723-F811B04E0EE5","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"67","897A365A-14B0-4081-A6F8-59DC1927BA47","Eye and Vision Services Providers","Optometrist","General - Not specified"
"68","DEF9C816-BC39-4C7F-8712-B117072BC6C5","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"69","FCB1F07A-C378-43F0-8C18-1D45935FD43D","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"70","4B5279FB-1C48-465E-B51F-4F7E849CBA5F","Nursing Service Providers","Registered Nurse","General - Not specified"
"71","D2EF3D12-57A0-4970-B17E-43A884B33F5F","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Pediatrics"
"72","69590281-D660-4DD4-975E-D95511D67EEB","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Obstetrics"
"73","D6DADB49-5F80-44DB-A9AA-9BD083B087CA","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"74","91A49354-C54C-43BE-B842-CD93F0A9D7A9","Behavioral Health & Social Service Providers","Counselor","Addiction (Substance Use Disorder)"
"75","4D2E537B-3488-41CE-8989-D25015721F28","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"76","435F799D-04FB-4CCE-966A-49148B453670","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"77","480E451F-43E3-4FA5-95E8-0B7C3D79172B","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"78","96780EF8-6465-43DC-8AA4-17A3043F0DD9","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"79","C60B43DA-DF36-47E7-B43A-7851F912D33A","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"80","32F9B680-B569-4621-B118-94C533B58AB5","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"81","C70C7104-F507-4064-8EF4-26540EBF057D","Behavioral Health & Social Service Providers","Counselor","General - Not specified"
"82","15422F83-451C-43B7-9FAF-E42F6FCB89C6","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Primary Care"
"83","C77241CC-A5ED-44EF-8D1F-189E506D9A68","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"84","EA34B22A-8055-4E79-B140-FD01D2B540EB","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","General - Not specified"
"85","BCD57CFA-10AD-4E7C-9F98-30A3DF296C50","Other Service Providers","Naturopath","General - Not specified"
"86","C660E73D-770C-4914-B022-498CBD4C3FE0","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"87","9CB7E2DB-F6C4-4308-8DA7-C33FDFB8363D","Allopathic & Osteopathic Physicians","Pediatrics","General - Not specified"
"88","8ACE1B3A-2D84-475E-8FA7-0A250B9897E7","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"89","E58BC8DB-A2B5-4B95-ADBE-3A5D29E4EB22","Nursing Service Providers","Registered Nurse","General - Not specified"
"90","6A68AC30-11B0-4D58-9E95-EE44BD1D75B8","Behavioral Health & Social Service Providers","Counselor","General - Not specified"
"91","53D7381E-2EFF-465D-AF79-329B859DFDDF","Allopathic & Osteopathic Physicians","Pediatrics","General - Not specified"
"92","9D39F380-5F4A-41C7-83A7-2707460254BB","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"93","1CF29BAF-6100-4189-A1C1-FBE74C80B0FD","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"94","A7ED0EEE-7683-47E5-87F2-DB7EA08B59A0","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"95","F5D8C23F-1B2F-4C9F-B2A3-EB6FDFA939DE","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"96","7A0E7711-CEC8-48B2-88E6-51BC549B5DA6","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"97","19F25484-47B9-4E33-914D-9B422A3366C8","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","Medical"
"98","6ABD1F1B-F454-413C-92EF-D5165A277B47","Allopathic & Osteopathic Physicians","General Practice","General - Not specified"
"99","BE33CF28-52F3-4574-927F-B872C8DA1E57","Other Service Providers","Naturopath","General - Not specified"
"100","CC95A70E-6B72-4E6B-8D08-2344DA4A26BA","Emergency Medical Service Providers","Personal Emergency Response Attendant","General - Not specified"
"101","6B190113-49C6-43CF-89AE-EBE363B57B8B","Behavioral Health & Social Service Providers","Counselor","Professional"
"102","0C4DD592-A829-45FB-BA4C-AE89172A65F7","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","Gynecology"
"103","86CA7465-5FD7-40D4-BC8C-0C363A3DA37E","Behavioral Health & Social Service Providers","Social Worker","General - Not specified"
"104","FDA3A50D-19E8-44F3-A75B-4F8B2008E129","Physician Assistants & Advanced Practice Nursing Providers","Advanced Practice Midwife","General - Not specified"
"105","D485DF63-41C2-41F5-B141-D3E9D0F15E25","Nursing Service Providers","Registered Nurse","General - Not specified"
"106","3F3B086D-E5FF-4A90-9924-69C3695CB1CF","Dental Providers","Dentist","General - Not specified"
"107","9B38C484-92B0-4CE3-BFAD-C825F098964D","Allopathic & Osteopathic Physicians","Internal Medicine","Infectious Disease"
"108","CF6B7BC1-B7B8-4784-9F7C-5E9A7D9A9338","Dental Providers","Dentist","General Practice"
"109","23B78F0D-2C9D-49A4-A086-DEBD89BE5C19","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"110","795E3E51-4746-4C2D-A450-DB5575CE8D0C","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"111","15A91C9B-E982-4888-8769-6077D0307619","Allopathic & Osteopathic Physicians","Pediatrics","General - Not specified"
"112","37E2C5AC-F1E1-41CE-8EA1-62AD6FB50415","Physician Assistants & Advanced Practice Nursing Providers","Clinical Nurse Specialist","Psych/Mental Health, Adult"
"113","EE0332E0-9171-4859-B389-A04912C64F51","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","General - Not specified"
"114","EE83A10C-D941-4089-97B4-B0CEBFA81C4D","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"115","61064968-C79A-4EAA-B175-3BEF6F6CADFF","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"116","4F480E57-AB59-4FB3-9DE2-CDF1E80A3506","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"117","6ECD1E11-D59C-43C3-89F3-85659EA63A27","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"118","6E8105DD-27C7-40AC-9667-A8D49633BD8F","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"119","967CA7D5-162A-427F-934B-2111163BCD4D","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"120","EA540DF1-A449-4BC6-B125-CD94AEE07318","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"121","C00F695B-CABB-414B-B28A-CE024DC06E21","Allopathic & Osteopathic Physicians","Internal Medicine","Hematology & Oncology"
"122","93464DF1-2643-48A3-AA32-DB1E87140A9A","Nursing Service Providers","Registered Nurse","School"
"123","9AEE26D5-C65F-4C6E-9C22-B56ACBE8986E","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"124","ABFC2BB7-82DD-4070-A2AC-EC01B2B420DC","Allopathic & Osteopathic Physicians","Family Medicine","Geriatric Medicine"
"125","F3FA3111-7990-4D56-96CF-788FC987CB5E","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"126","BAA12E7D-0FD3-48C3-8F2A-543734D76E03","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","General - Not specified"
"127","3E8FCB8C-FBB1-4D19-AAA3-10EA040A4168","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"128","C9C0C48A-5B5F-464A-A068-2C84418E6F64","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"129","CE3A4059-18F9-456B-B88C-C14012833B5F","Pharmacy Service Providers","Pharmacist","General - Not specified"
"130","040B6DE3-5CE1-4186-863D-1AE6E92420A0","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"131","C74282D8-36F3-4717-BB7E-985AE276337C","Other Service Providers","Naturopath","General - Not specified"
"132","765A622E-5BE3-4720-BC87-C6B441F2ECF0","Nursing Service Providers","Registered Nurse","General - Not specified"
"133","F63E7F73-A4A7-408A-85CB-90A727CE6B8D","Eye and Vision Services Providers","Optometrist","General - Not specified"
"134","AA395F5E-7DD6-457B-B868-9AD069F70B7C","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"135","0DFF531D-8122-4D58-A202-23ED426C8065","Dental Providers","Dentist","General - Not specified"
"136","37D4CB76-E728-4E3F-ABC3-E70E178656BA","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"137","B5312BC7-0670-478B-96CC-CD33BFBA3EA9","Pharmacy Service Providers","Pharmacist","General - Not specified"
"138","DC088213-24B7-42E6-8A75-AECFE03FC29F","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"139","FD08B1BD-D9BD-4538-878A-14B688FA9917","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"140","2088E8F9-8707-4CA9-9356-2B357EB2233D","Nursing Service Providers","Registered Nurse","General - Not specified"
"141","65CEC03C-A4FB-4558-AB5E-8DA831D09F96","Behavioral Health & Social Service Providers","Social Worker","General - Not specified"
"142","2DE12C02-D0CA-4063-8A60-47212E4EEA56","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"143","276A7EA7-4362-4A32-A584-C63CFB0F86A5","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"144","991DC8D9-462E-4188-973C-AAC7BB059A61","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"145","B6100678-260E-445A-90B4-93EA41CE5706","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"146","75CB6956-26A6-476F-8BFB-FE4D1E7161F3","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"147","8D03FB2E-B1A7-4683-B679-3CB522E84DDD","Dental Providers","Dentist","General Practice"
"148","9F029822-0938-4FB0-923E-1DDC0D70664A","Nursing Service Providers","Registered Nurse","Community Health"
"149","30AE9D5E-7336-4684-8712-B981D773593C","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"150","D62738D7-CD28-48C2-A87E-964B3C0093AE","Eye and Vision Services Providers","Optometrist","General - Not specified"
"151","718B5043-3921-456F-94A7-5D893545C984","Allopathic & Osteopathic Physicians","Internal Medicine","Infectious Disease"
"152","DDF9E180-ED2F-4FDD-BD99-C6657575E74E","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"153","5CAF0E18-1892-4C83-96DF-A665767568B7","Allopathic & Osteopathic Physicians","Family Medicine","Adult Medicine"
"154","DFF257CF-6F8B-4034-88A2-5BCA8E1551AB","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"155","78AA2009-5602-4746-A53D-7B4052F5060B","Allopathic & Osteopathic Physicians","Internal Medicine","Pulmonary Disease"
"156","1DEA6795-8972-4FE1-BEA6-5F4DB46F379D","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"157","6D974CB9-9DF5-430B-A6BE-63E7B8FEBF13","Eye and Vision Services Providers","Optometrist","General - Not specified"
"158","2273472A-869C-401D-AAF2-256F48124356","Allopathic & Osteopathic Physicians","Pediatrics","Pediatric Gastroenterology"
"159","81BF9DDF-B31B-4204-A22A-9AC517FE3D62","Dental Providers","Dentist","General - Not specified"
"160","D8DC05E1-25DF-4312-9881-1F0ED9986F5E","Behavioral Health & Social Service Providers","Counselor","Professional"
"161","ACC92F17-317B-4D69-A54C-7A1214A617F3","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","General - Not specified"
"162","9BD3C851-0A17-468C-B91C-151E09F2E03E","Allopathic & Osteopathic Physicians","Internal Medicine","Geriatric Medicine"
"163","D442FBB6-01D3-4937-854B-D9C2A5071311","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neurology"
"164","7B77399A-7577-413E-B133-A06F5EAA0972","Dental Providers","Dentist","General Practice"
"165","50BF174D-A369-4388-8390-D8EE0DE35678","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"166","9D3AAE10-7761-4C63-8286-16BDB409F99B","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"167","3FB2A993-933C-4E2F-A987-42B1596B5952","Other Service Providers","Case Manager/Care Coordinator","General - Not specified"
"168","F92FB233-ECB2-4A09-BB75-B449852B7599","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","General - Not specified"
"169","48E7DEFB-C461-4B93-8E57-548A28941C22","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"170","CD18598F-251D-46AE-8B96-5EF0A9370B2C","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"171","D7753E6E-28AD-47EC-9A23-3FC48E0FEC30","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"172","26AE71CD-B665-4A92-86F8-38C852863D70","Dental Providers","Dentist","Prosthodontics"
"173","8552F164-1CAE-463E-B630-7A7B933B9A5F","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"174","A8C0CC06-F281-42EB-9C9C-0E02EC9FA2A3","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"175","C3FB9590-3B59-453C-B44C-2CA8F98BC925","Nursing Service Providers","Registered Nurse","General - Not specified"
"176","C45A4934-8E51-4004-BB72-7EDB340157C4","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Psych/Mental Health"
"177","EF6F929B-1B3B-45F9-9915-D86ED97B6D7D","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"178","01AA59D9-AC2F-4012-8EFE-731CA5E69D52","Behavioral Health & Social Service Providers","Social Worker","General - Not specified"
"179","29EEC854-58CD-4AFE-B8D3-37AC0BD02C5A","Allopathic & Osteopathic Physicians","Dermatology","General - Not specified"
"180","1708A5A8-9F99-4286-8E3D-B724F9D27280","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"181","605F8EF4-49DA-462F-8FCB-2BEFB720C9DC","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"182","3A57C8D9-CC34-418A-A044-D46FB6546F7C","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"183","D1CFB336-99E9-4B11-B923-1E9632AAF503","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","General - Not specified"
"184","DE5D9739-7306-4796-B49B-82F3DDDA3894","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"185","A1B56F6F-370B-4606-84D1-5887E8DEFCAA","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"186","7338E656-086E-4AFB-B900-6B5E880C4401","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"187","C7EF9D89-0C7C-4707-98F1-C1B1C699DA90","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"188","9B92DA0F-D998-4A50-BE62-C735B7472736","Behavioral Health & Social Service Providers","Psychologist","Clinical"
"189","4BEA0DFF-1CB8-4205-8B66-D195954E4910","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Psych/Mental Health"
"190","F8F36B4E-F751-4708-B812-B3968258B2EB","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"191","ECEC5ADC-EE58-4A94-B9DF-D6ACC5A6F386","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"192","86014742-D379-4629-8555-AD99AE7C792B","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Psychiatry"
"193","C42552B7-485E-48F1-B725-E41A56C82F1C","Physician Assistants & Advanced Practice Nursing Providers","Physician Assistant","Medical"
"194","74FBCEE6-434B-4B65-9758-065BC9B0518F","Dental Providers","Dentist","General Practice"
"195","10C70457-9364-476A-B10A-6BB625EED151","Behavioral Health & Social Service Providers","Counselor","General - Not specified"
"196","B1AA35E0-5808-4D0F-87DE-F04FBD2B90A0","Behavioral Health & Social Service Providers","Social Worker","Clinical"
"197","67C20D70-5DA0-4154-8E2B-EE82AAC443A3","Allopathic & Osteopathic Physicians","Pediatrics","General - Not specified"
"198","34009915-FEE3-4964-84D1-D4D6470FA612","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"199","0904C88F-A32D-48CF-84A9-B695CFBEAA7F","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"200","1BE18A81-6982-406E-8B7B-033F45D50BC7","Dental Providers","Dentist","General Practice"
"201","6451C397-8F49-493F-92C1-B03BF814244E","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"202","0DD1F31F-851C-4AA2-AE5C-75107E400134","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"203","20B4D037-6573-4228-A9DD-555FB649C394","Behavioral Health & Social Service Providers","Behavioral Analyst","General - Not specified"
"204","F3538460-DAFB-41DA-8AC5-0E011A53E126","Nursing Service Providers","Registered Nurse","General - Not specified"
"205","CDA0A036-582E-4FF5-9A3C-72A5D1304AA6","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"206","41CDE6A8-3FA9-4FF7-92B9-4F896864AB04","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"207","64B40124-B255-4355-B639-933DBF01543E","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"208","A1270F95-4089-47EA-B0BE-1C984724D0AD","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Primary Care"
"209","A9F45694-36AD-4019-94CD-D50DF9C0281C","Student, Health Care","Student in an Organized Health Care Education/Training Program","General - Not specified"
"210","A42B0787-B2F6-45D1-BEE8-EE1368002608","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"211","3F6F8181-6004-4C16-8D2F-305DD979C39F","Behavioral Health & Social Service Providers","Counselor","Addiction (Substance Use Disorder)"
"212","C056E27E-BD87-49C7-9F0A-A43C4C0AA672","Allopathic & Osteopathic Physicians","Family Medicine","Sports Medicine"
"213","186CBE4D-41F3-48D2-B6D9-7BED41855470","Allopathic & Osteopathic Physicians","Pediatrics","General - Not specified"
"214","B10E32D7-975B-4A97-A7D2-8FBA74C17734","Other Service Providers","Case Manager/Care Coordinator","General - Not specified"
"215","2C74D055-78D4-4484-8C04-9581C49F814A","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"216","23932E52-D8B4-4949-BCE7-FFEE6FB9099C","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"217","8D44EE11-1E27-46BF-A71D-5D1A90367100","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Family"
"218","553E446C-4902-47CB-A92A-90F917FDD98E","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"219","9F70FAB7-2DFD-4A01-A1F1-C3670EF6EE73","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"220","C790F53C-335E-4B96-8336-D737013871DB","Nursing Service Providers","Registered Nurse","General - Not specified"
"221","4EFE1814-D6BE-4F2F-9E20-BE52822A6D95","Physician Assistants & Advanced Practice Nursing Providers","Advanced Practice Midwife","General - Not specified"
